"filename", "language", "C++", "C", "comment", "blank", "total"
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_ad9833.c", "C", 0, 108, 91, 18, 217
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_ad9833.h", "C", 0, 36, 6, 8, 50
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_adc.c", "C", 0, 354, 9, 38, 401
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_adc.h", "C++", 8, 0, 6, 5, 19
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_app.h", "C++", 47, 0, 6, 17, 70
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_beep.c", "C", 0, 114, 0, 18, 132
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_beep.h", "C++", 5, 0, 0, 4, 9
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_control.c", "C", 0, 256, 0, 56, 312
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_control.h", "C++", 16, 0, 0, 5, 21
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_flash.c", "C", 0, 93, 8, 27, 128
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_flash.h", "C++", 14, 0, 6, 6, 26
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_gpio.c", "C", 0, 47, 0, 10, 57
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_gpio.h", "C++", 19, 0, 0, 5, 24
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_mpc5043.c", "C", 0, 114, 7, 11, 132
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\App\dev_mpc5043.h", "C++", 17, 0, 6, 7, 30
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_beep.c", "C", 0, 206, 75, 42, 323
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_beep.h", "C++", 46, 0, 11, 23, 80
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_gt911.c", "C", 0, 363, 78, 61, 502
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_gt911.h", "C++", 60, 0, 14, 22, 96
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_ltdc.c", "C", 0, 174, 95, 35, 304
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_ltdc.h", "C++", 46, 0, 5, 10, 61
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_malloc.c", "C", 0, 145, 89, 37, 271
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_malloc.h", "C++", 39, 0, 7, 15, 61
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_sdram.c", "C", 0, 58, 32, 12, 102
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_sdram.h", "C++", 20, 0, 1, 7, 28
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_st7701.c", "C", 0, 311, 5, 70, 386
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_st7701.h", "C++", 18, 0, 0, 9, 27
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_touch.c", "C", 0, 30, 6, 5, 41
"d:\LiuRen\WearaUltraTherapyLCD_STM32F429ZIT6\Devices\Screen\dev_touch.h", "C++", 75, 0, 23, 25, 123
"Total", "-", 430, 2409, 586, 608, 4033